Start Date,End Date,Start Time,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
"Feb 18, 2025","Feb 18, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,161,5,3.1055900621118013%,₹6.64,₹1.33,0,,0.0,₹0
"Feb 19, 2025","Feb 19, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,224,2,0.8928571428571428%,₹3.0,₹1.5,0,,0.0,₹0
"Feb 20, 2025","Feb 20, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,211,8,3.7914691943127963%,₹12.09,₹1.51,1,1.2981017007387048%,77.04,₹931.36
"Feb 21, 2025","Feb 21, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,214,1,0.46728971962616817%,₹1.61,₹1.61,0,,0.0,₹0
"Feb 22, 2025","Feb 22, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,275,5,1.8181818181818181%,₹6.3,₹1.26,0,,0.0,₹0
"Feb 23, 2025","Feb 23, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,252,1,0.3968253968253968%,₹1.11,₹1.11,0,,0.0,₹0
"Feb 24, 2025","Feb 24, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,325,2,0.6153846153846154%,₹3.0,₹1.5,0,,0.0,₹0
"Feb 25, 2025","Feb 25, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,176,1,0.5681818181818182%,₹1.0,₹1.0,0,,0.0,₹0
"Feb 26, 2025","Feb 26, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,224,2,0.8928571428571428%,₹4.05,₹2.02,0,,0.0,₹0
"Feb 27, 2025","Feb 27, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,242,2,0.8264462809917356%,₹3.0,₹1.5,0,,0.0,₹0
"Feb 28, 2025","Feb 28, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,272,2,0.7352941176470588%,₹2.4,₹1.2,0,,0.0,₹0
"Mar 01, 2025","Mar 01, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,261,1,0.38314176245210724%,₹1.3,₹1.3,0,,0.0,₹0
"Mar 02, 2025","Mar 02, 2025",00:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,189,2,1.0582010582010581%,₹2.6,₹1.3,0,,0.0,₹0
"Feb 18, 2025","Feb 18, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,72,1,1.3888888888888888%,₹1.0,₹1.0,0,,0.0,₹0
"Feb 19, 2025","Feb 19, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,97,1,1.0309278350515463%,₹1.28,₹1.28,0,,0.0,₹0
"Feb 20, 2025","Feb 20, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,115,2,1.7391304347826086%,₹3.54,₹1.77,0,,0.0,₹0
"Feb 21, 2025","Feb 21, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,71,1,1.4084507042253522%,₹1.0,₹1.0,0,,0.0,₹0
"Feb 22, 2025","Feb 22, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,169,1,0.591715976331361%,₹2.84,₹2.84,0,,0.0,₹0
"Feb 23, 2025","Feb 23, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,130,1,0.7692307692307693%,₹1.95,₹1.95,0,,0.0,₹0
"Feb 24, 2025","Feb 24, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,140,2,1.4285714285714286%,₹2.81,₹1.41,0,,0.0,₹0
"Feb 25, 2025","Feb 25, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,95,1,1.0526315789473684%,₹1.68,₹1.68,0,,0.0,₹0
"Feb 26, 2025","Feb 26, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,147,0,0%,₹0,,0,,,₹0
"Feb 27, 2025","Feb 27, 2025",01:00,No Portfolio,Sponsored Products,manual wands (light+normal),India,ENABLED,INR,₹1000.0,Manual targeting,Dynamic bids - down only,125,0,0%,₹0,,0,,,₹0
