Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",b09hxjj8ty,1,72.63%,"asin=""B09HXJJ8TY""",-,No Portfolio,Manual product targeting,wand PT,INR,3457,67551,5.1200%,Rs.8707.78,Rs.2.5189,44,Rs.34131.36,25.5100%,3.92,1.2700%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,PHRASE,Breathing_category,breathing_stitch_BEaCOS35_tACOS10,breathing_stitch_BEaCOS35_tACOS10,INR,3,705,0.4300%,Rs.13.35,Rs.4.45,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,EXACT,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,24,870,2.7600%,Rs.179.25,Rs.7.4688,1,Rs.1100.85,16.2800%,6.14,4.1700%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,*,-,liquidations-Jan-25,31-01-Minecraft-Llama-AUTO-BE33,minecraft,INR,4,713,0.5600%,Rs.74.88,Rs.18.72,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,BROAD,Breathing_category,breathing_stitch_BEaCOS35_tACOS10,breathing_stitch_BEaCOS35_tACOS10,INR,24,2397,1.0000%,Rs.166.8,Rs.6.95,3,Rs.2985.59,5.5900%,17.90,12.5000%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,EXACT,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,215,31453,0.6800%,Rs.6392.39,Rs.29.732,15,Rs.15308.46,41.7600%,2.39,6.9800%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,PHRASE,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,296,25633,1.1500%,Rs.4994.36,Rs.16.872799999999998,19,Rs.16620.32,30.0500%,3.33,6.4200%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,PHRASE,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,2,469,0.4300%,Rs.6.23,Rs.3.115,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",breathing teddy,4,5.17%,breathing teddy,EXACT,Breathing_category,breathing_stitch_BEaCOS35_tACOS10,breathing_stitch_BEaCOS35_tACOS10,INR,2,55,3.6400%,Rs.6.39,Rs.3.195,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",breathing teddy bear with light,5,4.41%,breathing teddy bear with light,EXACT,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,68,15740,0.4300%,Rs.1351.35,Rs.19.872799999999998,3,Rs.3514.41,38.4500%,2.60,4.4100%
"Feb 1, 2025","Mar 15, 2025",breathing teddy bear with light,5,4.41%,breathing teddy,PHRASE,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,137,8417,1.6300%,Rs.2499.81,Rs.18.2468,11,Rs.9444.9,26.4700%,3.78,8.0300%
