Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025",breathing teddy bear with light,1,11.06%,breathing teddy bear with light,EXACT,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,25,1400,1.7900%,Rs.274.89,Rs.10.9956,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",breathing teddy bear with light,1,11.06%,breathing teddy bear with light,EXACT,Breathing_category,breathing_stitch_BEaCOS35_tACOS10,breathing_stitch_BEaCOS35_tACOS10,INR,9,1160,0.7800%,Rs.82.99,Rs.9.2211,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",breathing teddy bear with light,1,11.06%,breathing teddy bear with light,EXACT,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,6,1619,0.3700%,Rs.32.06,Rs.5.3433,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",breathing teddy,2,8.75%,breathing teddy,EXACT,Breathing_category,breathing_otter_BE30_tACOS30,breathing_otter,INR,5,227,2.2000%,Rs.39.24,Rs.7.848,1,Rs.1100.85,3.5600%,28.05,20.0000%
"Feb 1, 2025",breathing teddy,2,8.75%,breathing teddy,BROAD,Breathing_category,breathing_stitch_BEaCOS35_tACOS10,breathing_stitch_BEaCOS35_tACOS10,INR,7,927,0.7600%,Rs.38.85,Rs.5.55,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",breathing teddy,2,8.75%,breathing teddy,PHRASE,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,2,469,0.4300%,Rs.6.23,Rs.3.115,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",breathing teddy,2,8.75%,breathing teddy,EXACT,Breathing_category,breathing-fox-BE37TACOS15,breathing-fox,INR,3,1451,0.2100%,Rs.17.7,Rs.5.9,1,Rs.1185.59,1.4900%,66.98,33.3300%
"Feb 1, 2025",breathing teddy,2,8.75%,*,-,liquidations-Jan-25,31-01-Minecraft-Llama-AUTO-BE33,minecraft,INR,3,434,0.6900%,Rs.58.64,Rs.19.5467,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025",b09hxjj8ty,1,93.15%,"asin=""B09HXJJ8TY""",-,No Portfolio,Manual product targeting,wand PT,INR,198,2177,9.1000%,Rs.436.31,Rs.2.2036000000000002,2,Rs.1438.98,30.3200%,3.30,1.0100%
"Feb 1, 2025",wardrobe organizer for storage,59,0.27%,wardrobe organizer for storage,EXACT,liquidations-Jan-25,15-05-storagebox26L-single-35t_acos(10%ToS),15-05-singlepack26l,INR,10,2176,0.4600%,Rs.132.53,Rs.13.253,1,Rs.1355.08,9.7800%,10.22,10.0000%
"Feb 1, 2025",socks for women,4,6.98%,sock women,EXACT,liquidations-Jan-25,31-01-xocks-KT-BE50-Tacos30,xexy-xocks,INR,3,2065,0.1500%,Rs.28.08,Rs.9.36,0,Rs.0.0,,0.00,0.0000%
